model,method,cot,average_success_rate,error,average_success_rate_blocksworld,error_blocksworld,average_success_rate_igibson,error_igibson
Phi-4 Multimodal,predicate,no,0.0066666667,0.0065319726,0.0,0.0,0.0133333333,0.0130639453
AyaVision 32B,vila,yes,0.0066666667,0.0065319726,0.0,0.0,0.0133333333,0.0130639453
LLaVA-Onevision 7B,predicate,no,0.0066666667,0.0065319726,0.0,0.0,0.0133333333,0.0130639453
AyaVision 8B,predicate,no,0.0066666667,0.0065319726,0.0133333333,0.0130639453,0.0,0.0
LLaVA-Onevision 7B,predicate,yes,0.0066666667,0.0065319726,0.0,0.0,0.0133333333,0.0130639453
AyaVision 8B,vila,no,0.0066666667,0.0065319726,0.0,0.0,0.0133333333,0.0130639453
DeepSeek-VL2,predicate,yes,0.0066666667,0.0065319726,0.0133333333,0.0130639453,0.0,0.0
LLaVA-Onevision 72B,predicate,no,0.0,0.0,0.0,0.0,0.0,0.0
Phi-4 Multimodal,vila,no,0.0,0.0,0.0,0.0,0.0,0.0
Phi-4 Multimodal,predicate,yes,0.0,0.0,0.0,0.0,0.0,0.0
Molmo 7B,vila,no,0.0,0.0,0.0,0.0,0.0,0.0
Molmo 7B,predicate,yes,0.0,0.0,0.0,0.0,0.0,0.0
AyaVision 8B,predicate,yes,0.0,0.0,0.0,0.0,0.0,0.0
LLaVA-Onevision 7B,vila,no,0.0,0.0,0.0,0.0,0.0,0.0
LLaVA-Onevision 72B,vila,no,0.0,0.0,0.0,0.0,0.0,0.0
DeepSeek-VL2,vila,no,0.0,0.0,0.0,0.0,0.0,0.0
Molmo 7B,vila,yes,0.0,0.0,0.0,0.0,0.0,0.0
Phi-4 Multimodal,vila,yes,0.0,0.0,0.0,0.0,0.0,0.0
DeepSeek-VL2,vila,yes,0.0,0.0,0.0,0.0,0.0,0.0
LLaVA-Onevision 72B,vila,yes,0.0,0.0,0.0,0.0,0.0,0.0
LLaVA-Onevision 7B,vila,yes,0.0,0.0,0.0,0.0,0.0,0.0
